Field,Voltage
-100.0,5.0
-96.36363636363636,5.0
-92.72727272727272,5.0
-80.36363636363636,5.0
-76.0,5.0
-70.9090909090909,5.0
-67.27272727272728,5.0
-63.63636363636363,5.0
-60.0,5.0
-56.36363636363636,5.0
-52.72727272727273,5.0
-49.090909090909086,5.0
-45.45454545454545,5.0
-41.81818181818181,5.0
-38.18181818181818,5.0
-34.54545454545455,5.0
-30.909090909090907,5.0
-27.272727272727266,5.0
-23.63636363636364,5.0
-20.0,5.0
-16.36363636363636,5.0
-12.72727272727272,5.0
-9.090909090909093,5.0
-5.454545454545453,5.0
-1.818181818181813,5.0
1.8181818181818272,5.0
5.454545454545453,5.0
9.090909090909093,5.0
12.727272727272734,5.0
16.363636363636374,5.0
20.0,5.0
23.63636363636364,5.0
27.27272727272728,5.0
30.909090909090907,5.0
34.54545454545456,5.0
38.18181818181819,5.0
41.81818181818181,5.0
45.45454545454547,5.0
49.09090909090909,5.0
52.72727272727272,5.0
56.363636363636374,5.0
60.0,5.0
63.636363636363654,5.0
67.27272727272728,5.0
70.9090909090909,5.0
74.54545454545456,5.0
78.18181818181819,5.0
81.81818181818181,5.0
85.45454545454547,5.0
89.0909090909091,5.0
92.72727272727272,5.0
97.45454545454547,5.0
